server,model,request-rate,throughput,latency,energy
tgi,meta-llama/Llama-2-7b-chat-hf,0.25,0.24,24.6,995.62
tgi,meta-llama/Llama-2-7b-chat-hf,0.5,0.48,29.66,497.15
tgi,meta-llama/Llama-2-7b-chat-hf,0.75,0.71,36.05,347.95
tgi,meta-llama/Llama-2-7b-chat-hf,1,0.92,49.39,282.92
tgi,meta-llama/Llama-2-7b-chat-hf,1.25,0.93,138.77,273.66
tgi,meta-llama/Llama-2-7b-chat-hf,1.5,0.99,167.7,248.24
tgi,meta-llama/Llama-2-7b-chat-hf,1.75,0.96,215.94,257.6
tgi,meta-llama/Llama-2-7b-chat-hf,2,0.95,251.06,265.59
tgi,A100-Llama-2-7b,0.25,0.25,8.01,977.4073
tgi,A100-Llama-2-7b,0.5,0.49,8.65,543.69274
tgi,A100-Llama-2-7b,0.75,0.73,9.38,361.3592
tgi,A100-Llama-2-7b,1,0.97,10.3,276.65104
tgi,A100-Llama-2-13b,0.25,0.25,11.96,1136.03666
tgi,A100-Llama-2-13b,0.5,0.49,12.88,593.80486
